entities,created_at,text,edit_history_tweet_ids,public_metrics,id
"{'annotations': [{'start': 8, 'end': 12, 'probability': 0.8528, 'type': 'Other', 'normalized_text': 'Angie'}]}",2019-05-02T04:04:58.000Z,"Nobody:
Angie: U getting dick ? Cus ur ass looks bigger",['1123800523499552768'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'impression_count': 0}",1123800523499552768
"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/jVKBTvjKw9', 'expanded_url': 'https://t.co/jVKBTvjKw9', 'display_url': 't.co/jVKBTvjKw9'}]}",2019-05-19T22:19:39.000Z,Shame on you https://t.co/jVKBTvjKw9,['1130236603291643905'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130236603291643905
"{'mentions': [{'start': 3, 'end': 17, 'username': 'charliekirk11', 'id': '292929271'}]}",2019-05-19T11:43:41.000Z,"RT @charliekirk11: I am so SICK of Republicans endorsing positions simply to appease the media and the left

The media loves Republicans th…",['1130076557026963457'],"{'retweet_count': 4041, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130076557026963457
"{'annotations': [{'start': 71, 'end': 75, 'probability': 0.5956, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'RealSaavedra', 'id': '812135885328236551'}, {'start': 14, 'end': 25, 'username': 'benshapiro', 'id': '17995040'}]}",2019-05-20T01:26:54.000Z,@RealSaavedra @benshapiro My hot water heater went out today-That damn trump got me again!!!,['1130283726313795584'],"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130283726313795584
"{'annotations': [{'start': 78, 'end': 82, 'probability': 0.88, 'type': 'Other', 'normalized_text': 'Jesss'}]}",2019-05-01T19:07:16.000Z,"All I hear is my siblings coming in the house. Ewww what's that awful smell 

Jesss did you poop again??? 

Me I'm sick sorry",['1123665206838734850'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123665206838734850
"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/eAVumKf0wX', 'expanded_url': 'https://twitter.com/kemimarie/status/1122344909275574272', 'display_url': 'twitter.com/kemimarie/stat…'}], 'mentions': [{'start': 16, 'end': 30, 'username': 'calebhayden40', 'id': '764138381672484864'}]}",2019-05-01T17:17:48.000Z,"You’re pregnant @calebhayden40 

You whore https://t.co/eAVumKf0wX",['1123637658679414788'],"{'retweet_count': 1, 'reply_count': 2, 'like_count': 3, 'quote_count': 0, 'impression_count': 0}",1123637658679414788
"{'mentions': [{'start': 0, 'end': 13, 'username': 'prolificpapi', 'id': '764065429971095553'}]}",2019-05-10T12:37:44.000Z,"@ProlificPapi 🤣 bun him anyway, he cheated",['1126828668389593088'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1, 'impression_count': 0}",1126828668389593088
"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/JMi3iPFVps', 'expanded_url': 'https://www.palmerreport.com/analysis/more-sick-twisted-trump-thought/18069/', 'display_url': 'palmerreport.com/analysis/more-…'}], 'annotations': [{'start': 16, 'end': 27, 'probability': 0.9706, 'type': 'Person', 'normalized_text': 'Donald Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'BillPalmer', 'id': '10253'}]}",2019-05-19T16:30:06.000Z,RT @BillPalmer: Donald Trump reveals he's somehow even more sick and twisted than we thought https://t.co/JMi3iPFVps,['1130148636170620928'],"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130148636170620928
"{'annotations': [{'start': 47, 'end': 52, 'probability': 0.5766, 'type': 'Other', 'normalized_text': 'Martin'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'MartinDaubney', 'id': '568143078'}]}",2019-05-10T19:55:19.000Z,"@MartinDaubney What the fuck has happened to u Martin ? Pinning ur colours to a racist like farage, I’m ashamed of you",['1126938789807632390'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1126938789807632390
"{'annotations': [{'start': 16, 'end': 22, 'probability': 0.4924, 'type': 'Person', 'normalized_text': 'Monsoon'}, {'start': 34, 'end': 37, 'probability': 0.4054, 'type': 'Other', 'normalized_text': 'MODI'}, {'start': 63, 'end': 73, 'probability': 0.4562, 'type': 'Person', 'normalized_text': 'MasoodAzhar'}, {'start': 114, 'end': 122, 'probability': 0.568, 'type': 'Person', 'normalized_text': 'SUSHMA JI'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'ShivAroor', 'id': '139189823'}], 'hashtags': [{'start': 62, 'end': 74, 'tag': 'MasoodAzhar'}]}",2019-05-01T20:47:13.000Z,"RT @ShivAroor: *Monsoon delayed*
""MODI, YOU PIECE OF SHIT!""

*#MasoodAzhar designated global terrorist*
""CONGRATS SUSHMA JI!""",['1123690360084017154'],"{'retweet_count': 3084, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123690360084017154
