edit_history_tweet_ids,text,public_metrics,created_at,id,entities,geo
['1126922595633221632'],"RT @SmStains007: Modi will never again represent the myriad dreams and aspirations of 2014. Then he was a messiah, ushering in a future too…","{'retweet_count': 68, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T18:50:58.000Z,1126922595633221632,"{'annotations': [{'start': 17, 'end': 20, 'probability': 0.8333, 'type': 'Person', 'normalized_text': 'Modi'}]}",
['1123685914138546176'],RT @marleygonarley: My bitch a backwood ur bitch a swisher sweet niggggga https://t.co/plnnqCLpWt,"{'retweet_count': 23, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T20:29:33.000Z,1123685914138546176,"{'mentions': [{'start': 3, 'end': 18, 'username': 'marleygonarley', 'id': '1099707541456441344'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/plnnqCLpWt', 'expanded_url': 'https://twitter.com/marleygonarley/status/1123646155638956032/video/1', 'display_url': 'pic.twitter.com/plnnqCLpWt', 'media_key': '7_1123646106083028992'}]}",
['1123562752604348417'],RT @Lubchansky: good to know rich people have always been dumb as shit https://t.co/otdmH0wquk,"{'retweet_count': 2063, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T12:20:09.000Z,1123562752604348417,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Lubchansky', 'id': '119561017'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/otdmH0wquk', 'expanded_url': 'https://twitter.com/Lubchansky/status/1123321068016545792/photo/1', 'display_url': 'pic.twitter.com/otdmH0wquk', 'media_key': '3_1123321059439259648'}]}",
['1126814470637019136'],"@realDonaldTrump No, most Americans think you are a disgrace. Case closed.","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T11:41:19.000Z,1126814470637019136,"{'mentions': [{'start': 0, 'end': 16, 'username': 'realDonaldTrump', 'id': '25073877'}]}",
['1130161391032098816'],RT @BrennenTaylor: Beauty gurus are so problematic... can’t yall just not shit talk eachother and just post videos? This is not some compet…,"{'retweet_count': 542, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-19T17:20:47.000Z,1130161391032098816,"{'mentions': [{'start': 3, 'end': 17, 'username': 'BrennenTaylor', 'id': '396866544'}]}",
['1123658969938001923'],RT @ruinthesteele: billie eilish is a 17 year old girl and y’all are grabbing her boobs???at a m&amp;g??? some of y’all are sick sososo sick,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T18:42:29.000Z,1123658969938001923,"{'annotations': [{'start': 19, 'end': 31, 'probability': 0.9717, 'type': 'Person', 'normalized_text': 'billie eilish'}]}",
['1123733217507532801'],"The Senate President, Bukola Saraki, Deputy Senate President, Ike Ekweremadu have hailed Nigerian workers for playing integral... - https://t.co/Q7IDvi9ZGM https://t.co/Kiuh2aUoek","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T23:37:31.000Z,1123733217507532801,"{'urls': [{'start': 132, 'end': 155, 'url': 'https://t.co/Q7IDvi9ZGM', 'expanded_url': 'https://is.gd/DLUCdB', 'display_url': 'is.gd/DLUCdB'}, {'start': 156, 'end': 179, 'url': 'https://t.co/Kiuh2aUoek', 'expanded_url': 'https://twitter.com/NofNews_Nigeria/status/1123733217507532801/photo/1', 'display_url': 'pic.twitter.com/Kiuh2aUoek', 'media_key': '3_1123733214969901057'}], 'annotations': [{'start': 22, 'end': 34, 'probability': 0.8998, 'type': 'Person', 'normalized_text': 'Bukola Saraki'}, {'start': 62, 'end': 75, 'probability': 0.9005, 'type': 'Person', 'normalized_text': 'Ike Ekweremadu'}]}",
['1123742306534940672'],"RT @AdamantxYves: America is just a series of terrorist attacks that they won't call terrorism, and we just try to live around/between them.","{'retweet_count': 135, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T00:13:38.000Z,1123742306534940672,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AdamantxYves', 'id': '98121293'}], 'annotations': [{'start': 18, 'end': 24, 'probability': 0.9294, 'type': 'Place', 'normalized_text': 'America'}]}",
['1130194421180510208'],Never will you ever see another series where the characters look absolutely gay but are the manliest mother fuckers you will ever see https://t.co/Nbej2Kqs80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'impression_count': 0}",2019-05-19T19:32:02.000Z,1130194421180510208,"{'urls': [{'start': 134, 'end': 157, 'url': 'https://t.co/Nbej2Kqs80', 'expanded_url': 'https://twitter.com/irlkira/status/1129881071947014144', 'display_url': 'twitter.com/irlkira/status…'}]}",
['1123780587972644864'],"RT @TheTunnelingCat: #TransCrowdFund Hey all I'm Kaya, today is my birthday, and all I want is to get my name changed https://t.co/okUAdD7t…","{'retweet_count': 92, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T02:45:45.000Z,1123780587972644864,"{'mentions': [{'start': 3, 'end': 19, 'username': 'TheTunnelingCat', 'id': '1092176190'}], 'annotations': [{'start': 49, 'end': 52, 'probability': 0.5831, 'type': 'Other', 'normalized_text': 'Kaya'}], 'hashtags': [{'start': 21, 'end': 36, 'tag': 'TransCrowdFund'}]}",
